Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634504400.0 1000.0 NA 275 138 0 52 NA NA 680 291 0 156 NA NA 2945 1134 398 377 NA NA 2687 1485 737 802 NA
1634504400.0 10001.0 NA 222 442 0 79 148 NA 431 978 0 192 307 NA 2632 1886 623 368 787 NA 1435 3239 1389 1785 1586
1634504400.0 10002.0 NA 220 443 0 79 170 NA 431 919 0 194 347 NA 2647 1894 620 377 848 NA 1470 2876 1309 893 1860
1634504400.0 10003.0 NA 224 449 0 79 172 NA 436 944 0 193 352 NA 2593 1919 624 369 840 NA 1928 2895 1046 980 1542
1634504400.0 10004.0 NA 222 437 0 80 147 NA 426 964 0 193 303 NA 2660 1866 617 369 823 NA 1617 3452 1008 1735 1262
1634504400.0 10006.0 NA 224 435 0 80 139 NA 420 987 0 184 286 NA 2626 1827 624 359 797 NA 1639 2988 1499 781 2105
1634504400.0 10007.0 NA 223 440 0 108 148 NA 434 951 0 275 309 NA 2665 1889 615 519 802 NA 1673 3113 958 1003 1824
1634504400.0 1001.2 NA 495 145 0 NA NA NA 911 314 0 NA NA NA 14055 1555 126 NA NA NA 7101 1820 309 NA NA
1634504400.0 10023.0 NA 226 437 0 76 139 NA 435 978 0 184 285 NA 2647 1882 632 361 788 NA 1517 4128 1248 1039 1798
1634504400.0 106.0 61 0 0 NA NA NA 181 0 0 NA NA NA 555 161 1481 NA NA NA 1459 557 3337 NA NA NA
1634504400.0 108.0 86 122 283 NA NA NA 254 239 766 NA NA NA 2411 472 1928 NA NA NA 2382 1632 3449 NA NA NA
1634504400.0 10801.0 NA 216 432 0 79 150 NA 404 1007 0 193 312 NA 2452 1895 623 369 798 NA 1304 2940 1377 858 1524
1634504400.0 10802.0 NA 216 434 0 79 175 NA 402 971 0 196 347 NA 2481 1894 625 366 863 NA 1517 2630 1347 1802 1349
1634504400.0 10804.0 NA 215 436 0 76 165 NA 412 935 0 185 347 NA 2525 1879 623 364 847 NA 1341 3420 1294 850 1549
1634504400.0 10805.0 NA 215 435 0 78 176 NA 401 938 0 184 364 NA 2453 1874 620 364 853 NA 1317 3448 1311 863 1976
1634504400.0 10806.0 NA 215 435 0 76 143 NA 410 848 0 186 288 NA 2470 1847 618 364 781 NA 1589 3032 1313 841 1489
1634504400.0 10807.0 NA 216 437 0 105 143 NA 403 942 0 263 290 NA 2525 1878 627 529 807 NA 1623 2960 1113 1126 1305
1634504400.0 10823.0 NA 215 436 0 79 150 NA 430 925 0 193 311 NA 2503 1859 627 370 810 NA 1657 2550 1253 800 1844
1634504400.0 10825.0 NA 220 440 0 79 176 NA 423 938 0 195 355 NA 2513 1962 639 367 864 NA 1512 3089 942 757 1885
1634504400.0 10826.0 NA 230 454 0 81 178 NA 448 956 0 194 367 NA 2552 2226 660 387 861 NA 1616 2771 1300 1933 1622
1634504400.0 109.0 85 125 278 NA NA NA 248 235 739 NA NA NA 2288 429 1770 NA NA NA 2140 610 3044 NA NA NA
1634504400.0 11.0 NA 122 293 0 64 NA NA 255 606 0 167 NA NA 1507 1862 553 316 NA NA 1588 4183 1048 745 NA
1634504400.0 111.0 84 120 277 NA NA NA 239 236 687 NA NA NA 1171 359 1738 NA NA NA 1744 1532 3236 NA NA NA
1634504400.0 11224.6 NA 183 424 0 NA NA NA 360 857 0 NA NA NA 1030 2032 660 NA NA NA 1378 3544 1333 NA NA
1634504400.0 113.0 88 122 279 NA NA NA 244 239 683 NA NA NA 1770 461 1832 NA NA NA 2209 1045 3399 NA NA NA
1634504400.0 114.0 89 122 277 NA NA NA 244 245 693 NA NA NA 1900 464 1858 NA NA NA 1996 1090 3410 NA NA NA
1634504400.0 11634.24 NA 208 474 0 85 NA NA 387 960 0 191 NA NA 1274 2280 882 854 NA NA 2716 4968 1290 1234 NA
1634504400.0 11634.7 NA 288 528 0 NA NA NA 520 973 0 NA NA NA 2022 2638 946 NA NA NA 3155 3369 1374 NA NA
1634504400.0 117.0 83 122 277 NA NA NA 241 237 682 NA NA NA 2293 480 1934 NA NA NA 2441 1720 3406 NA NA NA
1634504400.0 11723.17 NA 296 536 0 NA NA NA 520 946 0 NA NA NA 2136 3141 969 NA NA NA 2817 4909 1591 NA NA
1634504400.0 118.0 91 127 286 NA NA NA 244 249 709 NA NA NA 2933 497 1999 NA NA NA 2184 1120 3495 NA NA NA
1634504400.0 12034.0 NA 299 530 0 NA NA NA 509 980 0 NA NA NA 2115 2691 946 NA NA NA 4042 3081 1655 NA NA
1634504400.0 121.0 91 127 283 NA NA NA 248 247 703 NA NA NA 2926 482 1974 NA NA NA 1738 705 3275 NA NA NA
1634504400.0 129.0 64 114 268 NA NA NA 181 230 688 NA NA NA 514 403 1677 NA NA NA 1810 1234 3250 NA NA NA
1634504400.0 131.0 64 116 275 NA NA NA 183 231 687 NA NA NA 853 399 1709 NA NA NA 1354 929 3385 NA NA NA
1634504400.0 1311.0 NA 165 336 0 65 NA NA 378 660 0 168 NA NA 1253 1399 511 312 NA NA 2479 2829 1041 856 NA
1634504400.0 1317.0 NA 155 323 0 169 NA NA 375 680 0 347 NA NA 1234 1631 432 854 NA NA 795 2186 793 1877 NA
1634504400.0 1318.0 NA 154 326 0 145 NA NA 368 740 0 288 NA NA 1194 1633 433 806 NA NA 1785 3093 884 1581 NA
1634504400.0 132.0 83 123 279 NA NA NA 239 241 695 NA NA NA 2241 481 1933 NA NA NA 1574 1221 3956 NA NA NA
1634504400.0 1320.0 NA 155 318 0 150 NA NA 375 752 0 314 NA NA 1253 1632 449 792 NA NA 925 2316 928 1450 NA
1634504400.0 1321.0 NA 158 326 0 167 NA NA 374 709 0 349 NA NA 1253 1670 455 821 NA NA 1153 4365 860 1423 NA
