Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1633899600.0 10824.502 239 99 0 895 700 0 2257 376 199 1014 952 327
1633899600.0 10824.506 238 104 0 892 728 0 2248 390 205 962 587 275
1633899600.0 10824.512 239 89 0 885 704 0 2229 318 155 866 467 229
1633899600.0 10824.522 234 72 0 890 653 0 2217 301 149 844 390 173
1633899600.0 10824.592 244 502 0 906 1417 0 2170 1627 454 875 2483 631
1633899600.0 10824.596 247 500 0 907 1409 0 2186 1612 452 931 2154 559
1633899600.0 10842.502 234 112 0 911 706 0 2185 362 193 947 646 459
1633899600.0 10842.506 243 103 0 883 716 0 2171 352 194 941 1001 232
1633899600.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633899600.0 136.885502 128 98 0 251 709 0 500 541 140 957 691 186
1633899600.0 136.885512 127 71 0 254 686 0 508 533 154 864 587 673
1633899600.0 136.885522 134 89 0 242 656 0 497 521 146 518 571 217
1633899600.0 136.888502 135 87 0 244 710 0 509 554 144 535 737 220
1633899600.0 136.888512 132 88 0 246 693 0 509 560 151 396 598 188
1633899600.0 136.888522 136 86 0 245 658 0 515 523 149 484 510 225
