Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1633986000.0 10824.502 243 102 0 927 817 0 2250 355 191 844 845 759
1633986000.0 10824.506 242 101 0 921 823 0 2244 367 199 915 889 731
1633986000.0 10824.512 241 95 0 922 708 0 2254 297 138 861 794 160
1633986000.0 10824.522 241 89 0 913 668 0 2242 270 139 851 268 157
1633986000.0 10824.592 251 346 0 924 1510 0 2187 1972 441 842 3065 602
1633986000.0 10824.596 251 259 0 917 1541 0 2220 3027 443 879 3744 539
1633986000.0 10842.502 239 99 0 916 824 0 2215 340 184 862 878 705
1633986000.0 10842.506 240 100 0 908 827 0 2201 343 188 809 935 697
1633986000.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1633986000.0 136.885502 128 98 0 245 808 0 490 534 133 522 698 221
1633986000.0 136.885512 128 87 0 245 694 0 492 530 146 446 612 230
1633986000.0 136.885522 128 91 0 250 678 0 502 511 135 683 510 166
1633986000.0 136.888502 122 91 0 252 815 0 528 537 132 623 670 641
1633986000.0 136.888512 125 85 0 251 704 0 516 550 143 720 543 228
1633986000.0 136.888522 123 93 0 244 678 0 531 509 135 638 493 167
