Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634590800.0 10824.502 251 101 0 926 822 0 2235 360 194 764 838 696
1634590800.0 10824.506 242 101 0 931 827 0 2230 371 203 862 935 724
1634590800.0 10824.592 250 352 0 924 1494 0 2214 1806 443 933 2477 591
1634590800.0 10824.596 250 362 0 925 1531 0 2229 1801 449 901 2508 612
1634590800.0 10842.506 238 100 0 911 821 0 2208 345 186 812 886 705
1634590800.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634590800.0 136.885502 129 106 0 254 803 0 495 520 133 433 622 257
1634590800.0 136.885512 127 90 0 246 703 0 495 523 149 373 602 222
1634590800.0 136.885522 129 91 0 249 675 0 499 514 137 474 675 173
1634590800.0 136.888502 136 107 0 245 805 0 504 525 137 457 592 335
1634590800.0 136.888512 135 89 0 242 700 0 502 544 145 430 646 214
1634590800.0 136.888522 127 92 0 242 675 0 511 512 139 475 557 209
