Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634245200.0 10824.502 245 115 0 920 824 0 2291 373 200 1017 979 776
1634245200.0 10824.506 244 119 0 909 819 0 2242 372 206 1070 914 723
1634245200.0 10824.512 244 98 0 927 717 0 2230 307 144 879 838 170
1634245200.0 10824.522 245 91 0 917 666 0 2268 291 148 883 361 170
1634245200.0 10824.592 253 332 0 930 1515 0 2210 1803 444 838 3121 572
1634245200.0 10824.596 252 322 0 918 1524 0 2239 2287 448 909 3134 924
1634245200.0 10842.502 241 117 0 921 815 0 2244 356 190 932 960 268
1634245200.0 10842.506 245 101 0 920 824 0 2258 357 191 1013 1079 257
1634245200.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634245200.0 136.885502 131 98 0 255 803 0 507 534 138 610 628 203
1634245200.0 136.885512 130 84 0 249 708 0 507 537 151 450 670 220
1634245200.0 136.885522 122 94 0 249 676 0 529 512 142 671 620 211
1634245200.0 136.888502 136 103 0 244 811 0 517 570 139 589 726 210
1634245200.0 136.888512 137 91 0 247 698 0 524 544 151 597 712 217
1634245200.0 136.888522 134 95 0 254 680 0 527 521 142 475 583 192
