Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634158800.0 10824.502 243 102 0 918 824 0 2271 385 205 901 998 271
1634158800.0 10824.506 250 118 0 911 833 0 2229 387 214 1039 972 287
1634158800.0 10824.512 243 95 0 912 708 0 2275 319 153 929 875 184
1634158800.0 10824.522 239 90 0 915 668 0 2265 310 154 894 399 184
1634158800.0 10824.592 243 503 0 912 1485 0 2252 1665 455 884 2773 572
1634158800.0 10824.596 249 505 0 933 1496 0 2231 1671 459 949 1953 572
1634158800.0 10842.502 247 103 0 912 820 0 2252 367 195 976 942 267
1634158800.0 10842.506 239 116 0 920 815 0 2230 363 199 931 965 249
1634158800.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634158800.0 136.885502 125 105 0 243 804 0 513 566 142 643 829 687
1634158800.0 136.885512 129 89 0 244 701 0 508 557 160 410 712 294
1634158800.0 136.885522 129 93 0 249 680 0 510 542 150 610 599 685
1634158800.0 136.888502 126 90 0 250 807 0 519 575 144 534 834 287
1634158800.0 136.888512 127 75 0 250 702 0 518 574 155 535 637 232
1634158800.0 136.888522 135 81 0 246 680 0 519 545 148 613 576 190
