Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634547600.0 10005.0 NA 210 352 0 69 NA NA NA 558 732 0 126 NA NA NA 1937 1839 944 407 NA NA NA 918 3497 1314 651 NA NA
1634547600.0 10024.2 NA 218 362 0 NA NA NA NA 602 743 0 NA NA NA NA 2008 2109 936 NA NA NA NA 1375 3119 1208 NA NA NA
1634547600.0 10025.0 NA 214 358 0 70 NA NA NA 603 742 0 129 NA NA NA 1983 1948 943 427 NA NA NA 1584 3086 1164 995 NA NA
1634547600.0 10059.0 NA 224 372 0 70 NA NA NA 559 756 0 126 NA NA NA 2088 2746 959 288 NA NA NA 1274 5184 1454 555 NA NA
1634547600.0 10224.0 NA 391 624 0 NA NA NA NA 619 951 0 NA NA NA NA 4198 4361 982 NA NA NA NA 3467 6318 1201 NA NA NA
1634547600.0 10225.0 NA 361 597 0 NA NA NA NA 668 943 0 NA NA NA NA 4057 3784 972 NA NA NA NA 4663 5676 1511 NA NA NA
1634547600.0 103.0 47 0 0 NA NA NA NA 97 0 0 NA NA NA NA 508 229 1617 NA NA NA NA 1243 383 2731 NA NA NA NA
1634547600.0 10424.0 NA 175 361 0 NA NA NA NA 600 733 0 NA NA NA NA 674 2065 946 NA NA NA NA 823 3123 1115 NA NA NA
1634547600.0 106.0 41 0 0 NA NA NA NA 97 0 0 NA NA NA NA 526 229 1617 NA NA NA NA 1209 413 2996 NA NA NA NA
1634547600.0 107.0 83 108 270 NA NA NA NA 209 582 598 NA NA NA NA 2124 469 1757 NA NA NA NA 1687 1144 2476 NA NA NA NA
1634547600.0 10824.5 NA 313 157 0 NA NA NA NA 680 249 0 NA NA NA NA 3353 687 160 NA NA NA NA 2883 2014 413 NA NA NA
1634547600.0 10859.0 NA 312 393 0 93 205 NA NA 679 747 0 149 317 NA NA 3390 3229 1915 534 922 NA NA 5474 5273 2921 1445 1474 NA
1634547600.0 10871.0 NA 294 390 0 93 192 NA NA 678 638 0 138 318 NA NA 2999 2277 1771 459 843 NA NA 4094 4777 2523 1496 1904 NA
1634547600.0 109.0 83 144 273 NA NA NA NA 214 585 622 NA NA NA NA 3104 537 2039 NA NA NA NA 2150 565 2823 NA NA NA NA
1634547600.0 110.0 59 105 262 NA NA NA NA 133 582 592 NA NA NA NA 589 488 1814 NA NA NA NA 991 2034 3110 NA NA NA NA
1634547600.0 111.0 79 113 277 NA NA NA NA 203 582 630 NA NA NA NA 1474 405 1717 NA NA NA NA 1821 1325 2892 NA NA NA NA
1634547600.0 112.0 86 106 267 NA NA NA NA 207 585 589 NA NA NA NA 2072 566 1873 NA NA NA NA 2021 1805 2903 NA NA NA NA
1634547600.0 11224.0 NA 274 394 0 NA NA NA NA 634 744 0 NA NA NA NA 1757 2372 1765 NA NA NA NA 3465 3349 2196 NA NA NA
1634547600.0 11224.6 NA 272 392 0 NA NA NA NA 635 732 0 NA NA NA NA 1776 2393 1776 NA NA NA NA 2318 6029 2251 NA NA NA
1634547600.0 114.0 79 124 270 NA NA NA NA 207 582 636 NA NA NA NA 2239 529 1937 NA NA NA NA 1677 767 3310 NA NA NA NA
1634547600.0 115.0 81 108 273 NA NA NA NA 208 585 597 NA NA NA NA 2370 537 1931 NA NA NA NA 1982 1306 3516 NA NA NA NA
1634547600.0 116.0 78 112 277 NA NA NA NA 213 584 641 NA NA NA NA 2868 571 2027 NA NA NA NA 1895 923 2942 NA NA NA NA
1634547600.0 11623.0 NA 168 341 0 68 NA NA NA 600 708 0 129 NA NA NA 625 1834 924 281 NA NA NA 823 4121 1258 700 NA NA
1634547600.0 11624.0 NA 177 359 0 70 NA NA NA 513 720 0 137 NA NA NA 722 2061 939 519 NA NA NA 1237 3221 1248 1734 NA NA
1634547600.0 11824.0 NA 413 681 0 190 NA NA NA 616 1007 0 302 NA NA NA 4286 6270 1051 851 NA NA NA 4201 8135 1403 1451 NA NA
1634547600.0 119.0 80 132 267 NA NA NA NA 213 582 638 NA NA NA NA 1540 512 1857 NA NA NA NA 1795 844 2810 NA NA NA NA
1634547600.0 120.0 60 131 264 NA NA NA NA 136 582 628 NA NA NA NA 572 476 1806 NA NA NA NA 1382 1157 2746 NA NA NA NA
1634547600.0 12024.0 NA 178 360 0 NA NA NA NA 614 671 0 NA NA NA NA 743 2072 948 NA NA NA NA 2533 5026 1400 NA NA NA
1634547600.0 122.0 57 109 261 NA NA NA NA 136 581 599 NA NA NA NA 750 367 1783 NA NA NA NA 1609 1277 2727 NA NA NA NA
1634547600.0 123.1 288 NA NA NA NA NA NA 838 NA NA NA NA NA NA 1344 NA NA NA NA NA NA 2137 NA NA NA NA NA NA
1634547600.0 124.5 282 NA NA NA NA NA NA 853 NA NA NA NA NA NA 1186 NA NA NA NA NA NA 4005 NA NA NA NA NA NA
1634547600.0 124.6 248 NA NA NA NA NA NA 839 NA NA NA NA NA NA 1164 NA NA NA NA NA NA 2452 NA NA NA NA NA NA
1634547600.0 125.0 78 115 265 NA NA NA NA 207 585 624 NA NA NA NA 1970 482 1750 NA NA NA NA 2068 1773 2524 NA NA NA NA
1634547600.0 126.0 59 116 267 NA NA NA NA 154 584 595 NA NA NA NA 1245 469 1834 NA NA NA NA 1721 1694 2843 NA NA NA NA
1634547600.0 127.0 57 102 262 NA NA NA NA 128 538 618 NA NA NA NA 904 495 1812 NA NA NA NA 1729 1941 2976 NA NA NA NA
1634547600.0 128.0 57 125 262 NA NA NA NA 131 583 627 NA NA NA NA 549 481 1814 NA NA NA NA 1184 1115 3121 NA NA NA NA
