Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634158800.0 1.0 83 117 184 NA NA NA NA NA NA 259 229 493 NA NA NA NA NA NA 1504 413 1021 NA NA NA NA NA NA 1778 802 1498 NA NA NA NA NA NA
1634158800.0 10.0 NA 139 293 0 NA NA NA NA NA NA 274 634 0 NA NA NA NA NA NA 1882 3171 468 NA NA NA NA NA NA 1849 4994 666 NA NA NA NA NA
1634158800.0 1000.0 NA 271 139 0 65 NA NA NA NA NA 489 306 0 154 NA NA NA NA NA 2744 1124 360 373 NA NA NA NA NA 4448 1791 825 755 NA NA NA NA
1634158800.0 10001.0 NA 225 438 0 83 159 NA NA NA NA 429 910 0 194 321 NA NA NA NA 2696 1681 481 367 883 NA NA NA NA 1889 2673 990 1184 2162 NA NA NA
1634158800.0 10002.0 NA 227 441 0 84 175 NA NA NA NA 433 887 0 191 349 NA NA NA NA 2753 1737 491 371 964 NA NA NA NA 2427 3091 956 784 1861 NA NA NA
1634158800.0 10003.0 NA 217 443 0 81 177 NA NA NA NA 438 891 0 194 347 NA NA NA NA 2699 1727 476 373 903 NA NA NA NA 2063 2861 869 1306 2078 NA NA NA
1634158800.0 10004.0 NA 224 439 0 81 152 NA NA NA NA 427 894 0 194 312 NA NA NA NA 2690 1672 488 372 909 NA NA NA NA 2111 3920 1509 1215 1805 NA NA NA
1634158800.0 10005.0 NA 226 440 0 81 175 NA NA NA NA 434 894 0 194 346 NA NA NA NA 2641 1670 492 365 933 NA NA NA NA 1795 2510 1084 914 1682 NA NA NA
1634158800.0 10006.0 NA 223 430 0 77 143 NA NA NA NA 425 879 0 194 286 NA NA NA NA 2685 1666 482 365 868 NA NA NA NA 1462 3730 1154 1239 1802 NA NA NA
1634158800.0 10007.0 NA 226 437 0 108 155 NA NA NA NA 436 884 0 268 307 NA NA NA NA 2684 1660 485 539 882 NA NA NA NA 1251 3011 901 1653 1837 NA NA NA
