Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634245200.0 107.0 87 122 263 NA NA NA 253 410 582 NA NA NA 27689 517 1301 NA NA NA 13701 782 1235 NA NA NA
1634245200.0 108.0 82 123 270 NA NA NA 250 392 590 NA NA NA 35758 546 1522 NA NA NA 22792 1576 1469 NA NA NA
1634245200.0 10801.0 NA 217 431 NA NA NA NA 536 900 NA NA NA NA 2571 1769 NA NA NA NA 1219 1572 NA NA NA
1634245200.0 10802.0 NA 212 433 0 97 190 NA 633 898 0 193 350 NA 2568 1991 453 338 768 NA 929 2030 512 522 801
1634245200.0 10803.0 NA 209 435 NA NA NA NA 627 905 NA NA NA NA 2607 1925 NA NA NA NA 2282 1947 NA NA NA
1634245200.0 10804.0 NA 213 427 NA NA NA NA 620 872 NA NA NA NA 2803 1660 NA NA NA NA 4269 1403 NA NA NA
1634245200.0 10805.0 NA 216 427 NA NA NA NA 509 881 NA NA NA NA 2588 1763 NA NA NA NA 1335 1698 NA NA NA
1634245200.0 10806.0 NA 210 422 0 93 148 NA 601 896 0 188 284 NA 2604 1616 459 343 724 NA 2649 1503 498 569 808
1634245200.0 10807.0 NA 220 426 0 105 162 NA 558 880 0 272 303 NA 2841 1713 475 494 753 NA 1774 1501 565 941 819
1634245200.0 10808.0 NA 221 430 0 123 179 NA 591 895 0 266 354 NA 2823 1757 469 486 782 NA 2759 1468 526 581 822
1634245200.0 10809.0 NA 218 432 NA NA NA NA 614 891 NA NA NA NA 2621 1641 NA NA NA NA 1477 1500 NA NA NA
1634245200.0 10823.0 NA 209 424 0 87 169 NA 634 870 0 186 308 NA 2568 1665 455 327 758 NA 2680 2363 501 430 790
1634245200.0 10824.0 NA 228 434 NA NA NA NA 640 925 NA NA NA NA 2715 1855 NA NA NA NA 964 1551 NA NA NA
1634245200.0 10824.1 NA 225 448 NA NA NA NA 570 890 NA NA NA NA 2693 1878 NA NA NA NA 1149 2246 NA NA NA
1634245200.0 10824.5 NA 229 431 NA NA NA NA 642 910 NA NA NA NA 2707 1846 NA NA NA NA 1098 1565 NA NA NA
1634245200.0 10824.501 NA 228 100 0 NA NA NA 607 285 0 NA NA NA 2744 495 224 NA NA NA 1400 829 419 NA NA
1634245200.0 10824.505 NA 226 100 0 NA NA NA 560 285 0 NA NA NA 2735 536 256 NA NA NA 4306 1584 676 NA NA
1634245200.0 10824.511 NA 230 77 NA NA NA NA 653 196 NA NA NA NA 2724 328 NA NA NA NA 1307 618 NA NA NA
1634245200.0 10824.521 NA 235 60 0 NA NA NA 603 176 0 NA NA NA 2831 444 216 NA NA NA 3434 1562 435 NA NA
1634245200.0 10824.6 NA 227 435 NA NA NA NA 587 913 NA NA NA NA 2963 2076 NA NA NA NA 3289 1565 NA NA NA
1634245200.0 10824.8 NA 229 429 NA NA NA NA 662 885 NA NA NA NA 2698 1872 NA NA NA NA 1032 1527 NA NA NA
1634245200.0 10825.0 NA 221 431 NA NA NA NA 625 884 NA NA NA NA 2642 1777 NA NA NA NA 1361 1991 NA NA NA
1634245200.0 10826.0 NA 227 438 NA NA NA NA 626 936 NA NA NA NA 2706 2158 NA NA NA NA 3937 2011 NA NA NA
1634245200.0 10842.0 NA 225 432 0 121 190 NA 668 894 0 270 348 NA 2883 2070 513 495 814 NA 4508 1844 628 624 1025
1634245200.0 10842.501 NA 226 96 0 NA NA NA 651 282 0 NA NA NA 2656 478 212 NA NA NA 1245 978 755 NA NA
1634245200.0 10842.505 NA 226 111 0 NA NA NA 647 283 0 NA NA NA 2643 491 219 NA NA NA 1882 1214 717 NA NA
1634245200.0 10859.0 NA 241 450 NA NA NA NA 587 938 NA NA NA NA 2781 3300 NA NA NA NA 1119 2403 NA NA NA
1634245200.0 10871.0 NA 227 434 NA NA NA NA 576 899 NA NA NA NA 2710 2120 NA NA NA NA 3040 1994 NA NA NA
1634245200.0 109.0 96 125 282 NA NA NA 253 458 570 NA NA NA 41410 550 1452 NA NA NA 55890 1108 1276 NA NA NA
1634245200.0 11.0 NA 123 291 0 82 NA NA 479 482 0 169 NA NA 1777 1678 470 258 NA NA 1671 1371 535 336 NA
1634245200.0 110.0 66 117 270 NA NA NA 192 519 575 NA NA NA 2386 483 1311 NA NA NA 3003 1100 1248 NA NA NA
1634245200.0 1102.0 NA 138 268 NA NA NA NA 515 581 NA NA NA NA 2473 1442 NA NA NA NA 936 1379 NA NA NA
1634245200.0 11024.0 NA 463 773 0 194 NA NA 836 1359 0 348 NA NA 7961 12806 537 807 NA NA 6092 6382 956 848 NA
1634245200.0 11024.2 NA 437 777 0 177 NA NA 854 1359 0 347 NA NA 7788 13809 519 728 NA NA 3729 6529 604 741 NA
1634245200.0 11024.6 NA 447 768 0 183 NA NA 834 1336 0 345 NA NA 7952 12168 546 807 NA NA 5043 5921 751 833 NA
1634245200.0 11025.0 NA 431 746 NA NA NA NA 891 1185 NA NA NA NA 7999 3982 NA NA NA NA 4465 2603 NA NA NA
1634245200.0 111.0 83 121 277 NA NA NA 251 485 578 NA NA NA 13519 450 1304 NA NA NA 6483 437 1358 NA NA NA
1634245200.0 112.0 86 118 263 NA NA NA 261 391 578 NA NA NA 16299 545 1321 NA NA NA 12247 2235 1270 NA NA NA
1634245200.0 11224.0 NA 191 415 NA NA NA NA 542 786 NA NA NA NA 1255 1883 NA NA NA NA 2150 2085 NA NA NA
1634245200.0 11224.6 NA 191 409 NA NA NA NA 539 797 NA NA NA NA 1145 1860 NA NA NA NA 3039 1566 NA NA NA
1634245200.0 113.0 85 121 284 NA NA NA 254 464 577 NA NA NA 21602 525 1447 NA NA NA 21325 977 1824 NA NA NA
1634245200.0 114.0 94 122 275 NA NA NA 262 415 560 NA NA NA 27751 523 1285 NA NA NA 31250 878 1612 NA NA NA
1634245200.0 115.0 84 123 262 NA NA NA 257 437 556 NA NA NA 35371 580 1279 NA NA NA 26415 1176 1240 NA NA NA
1634245200.0 116.0 91 122 281 NA NA NA 265 528 580 NA NA NA 34500 529 1362 NA NA NA 38029 1008 1352 NA NA NA
1634245200.0 11601.0 NA 257 NA NA NA NA NA 660 NA NA NA NA NA 1425 NA NA NA NA NA 1906 NA NA NA NA
1634245200.0 11602.0 NA 284 NA NA NA NA NA 694 NA NA NA NA NA 1537 NA NA NA NA NA 1448 NA NA NA NA
1634245200.0 11603.0 NA 276 NA NA NA NA NA 653 NA NA NA NA NA 1599 NA NA NA NA NA 1508 NA NA NA NA
1634245200.0 11604.0 NA 268 NA NA NA NA NA 642 NA NA NA NA NA 1534 NA NA NA NA NA 1283 NA NA NA NA
1634245200.0 11605.0 NA 261 NA NA NA NA NA 649 NA NA NA NA NA 1787 NA NA NA NA NA 2165 NA NA NA NA
1634245200.0 11606.0 NA 263 552 0 105 NA NA 668 967 0 202 NA NA 1753 2681 640 731 NA NA 4450 2807 703 778 NA
1634245200.0 11607.0 NA 267 566 0 109 NA NA 662 988 0 254 NA NA 1847 2697 670 845 NA NA 3162 2367 773 893 NA
1634245200.0 11608.0 NA 272 585 0 127 NA NA 656 1022 0 253 NA NA 1844 2798 681 843 NA NA 2359 2542 833 1049 NA
1634245200.0 11609.0 NA 271 589 0 127 NA NA 741 1030 0 254 NA NA 1842 2836 669 840 NA NA 2978 2530 743 874 NA
1634245200.0 11630.0 NA 294 NA NA NA NA NA 692 NA NA NA NA NA 1733 NA NA NA NA NA 1462 NA NA NA NA
1634245200.0 11634.0 NA 280 NA NA NA NA NA 774 NA NA NA NA NA 1557 NA NA NA NA NA 1742 NA NA NA NA
1634245200.0 11634.1 NA 280 NA NA NA NA NA 731 NA NA NA NA NA 1541 NA NA NA NA NA 1675 NA NA NA NA
1634245200.0 11634.24 NA 210 NA NA NA NA NA 555 NA NA NA NA NA 978 NA NA NA NA NA 1185 NA NA NA NA
1634245200.0 11634.5 NA 290 NA NA NA NA NA 662 NA NA NA NA NA 1581 NA NA NA NA NA 1645 NA NA NA NA
1634245200.0 11634.501 NA 279 NA NA NA NA NA 733 NA NA NA NA NA 1489 NA NA NA NA NA 3423 NA NA NA NA
1634245200.0 11634.505 NA 289 NA NA NA NA NA 683 NA NA NA NA NA 1535 NA NA NA NA NA 1322 NA NA NA NA
1634245200.0 11634.511 NA 280 NA NA NA NA NA 749 NA NA NA NA NA 1500 NA NA NA NA NA 4299 NA NA NA NA
1634245200.0 11634.521 NA 288 NA NA NA NA NA 670 NA NA NA NA NA 1545 NA NA NA NA NA 1874 NA NA NA NA
1634245200.0 11634.7 NA 283 NA NA NA NA NA 720 NA NA NA NA NA 1522 NA NA NA NA NA 1228 NA NA NA NA
1634245200.0 11634.91 NA 292 NA NA NA NA NA 659 NA NA NA NA NA 1518 NA NA NA NA NA 3882 NA NA NA NA
1634245200.0 11634.911 89 276 NA NA NA NA 218 560 NA NA NA NA 64366 2525 NA NA NA NA 34177 1388 NA NA NA NA
1634245200.0 11634.912 89 278 NA NA NA NA 216 674 NA NA NA NA 63290 1532 NA NA NA NA 51776 2204 NA NA NA NA
1634245200.0 11640.0 NA 268 562 0 96 NA NA 679 1002 0 199 NA NA 1650 2575 676 774 NA NA 4583 2431 905 828 NA
1634245200.0 11643.0 NA 285 NA NA NA NA NA 642 NA NA NA NA NA 1681 NA NA NA NA NA 2145 NA NA NA NA
1634245200.0 11646.0 NA 275 NA NA NA NA NA 660 NA NA NA NA NA 1568 NA NA NA NA NA 1858 NA NA NA NA
1634245200.0 11650.0 NA 280 599 0 128 NA NA 684 1032 0 259 NA NA 1943 3124 691 855 NA NA 3121 2611 733 894 NA
1634245200.0 11650.501 NA 282 117 0 NA NA NA 800 315 0 NA NA NA 1952 812 260 NA NA NA 3946 3165 761 NA NA
1634245200.0 11650.505 NA 294 117 0 NA NA NA 832 303 0 NA NA NA 1733 713 247 NA NA NA 9159 1709 480 NA NA
1634245200.0 11650.911 87 276 511 0 133 NA 213 523 908 0 256 NA 16417 2684 3076 1297 1434 NA 21294 3075 2260 1383 1282 NA
1634245200.0 117.0 85 122 276 NA NA NA 254 360 585 NA NA NA 37576 546 1451 NA NA NA 21181 1071 1298 NA NA NA
1634245200.0 11723.17 NA 300 NA NA NA NA NA 699 NA NA NA NA NA 1896 NA NA NA NA NA 1389 NA NA NA NA
1634245200.0 11725.0 NA 287 589 0 109 NA NA 670 1040 0 201 NA NA 1633 2785 687 749 NA NA 1878 2508 753 800 NA
1634245200.0 118.0 87 134 275 NA NA NA 255 497 585 NA NA NA 53683 544 1451 NA NA NA 27051 411 1714 NA NA NA
1634245200.0 11834.0 NA 586 968 NA NA NA NA 984 1462 NA NA NA NA 8477 6007 NA NA NA NA 4642 8640 NA NA NA
1634245200.0 11834.13 NA 606 NA 0 200 NA NA 1033 NA 0 349 NA NA 8980 NA 746 916 NA NA 3752 NA 842 939 NA
1634245200.0 11834.24 NA NA 923 0 182 NA NA NA 1735 0 346 NA NA NA 8921 661 908 NA NA NA 4218 719 926 NA
1634245200.0 11834.99 NA 449 600 NA NA NA NA 777 955 NA NA NA NA 8391 2823 NA NA NA NA 7139 1493 NA NA NA
