Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634504400.0 124.6 250 NA NA NA NA NA NA 836 NA NA NA NA NA NA 1149 NA NA NA NA NA NA 2056 NA NA NA NA NA NA
1634504400.0 125.0 79 120 270 NA NA NA NA 201 584 608 NA NA NA NA 2308 490 1773 NA NA NA NA 2532 833 3147 NA NA NA NA
1634504400.0 126.0 58 104 259 NA NA NA NA 158 584 582 NA NA NA NA 1095 482 1707 NA NA NA NA 1482 1607 2884 NA NA NA NA
1634504400.0 127.0 57 135 261 NA NA NA NA 128 584 637 NA NA NA NA 870 455 1720 NA NA NA NA 2081 781 4549 NA NA NA NA
1634504400.0 128.0 56 114 256 NA NA NA NA 128 582 610 NA NA NA NA 522 447 1685 NA NA NA NA 1260 915 2922 NA NA NA NA
1634504400.0 129.0 56 132 257 NA NA NA NA 132 583 621 NA NA NA NA 536 459 1693 NA NA NA NA 2637 978 3161 NA NA NA NA
1634504400.0 130.0 58 103 259 NA NA NA NA 125 584 619 NA NA NA NA 577 466 1678 NA NA NA NA 1429 2175 3020 NA NA NA NA
1634504400.0 1303.0 76 144 196 NA NA NA NA 156 598 553 NA NA NA NA 5527 596 1638 NA NA NA NA 2748 894 2396 NA NA NA NA
1634504400.0 131.0 58 140 262 NA NA NA NA 141 584 616 NA NA NA NA 947 457 1714 NA NA NA NA 1151 951 4601 NA NA NA NA
1634504400.0 1311.0 NA 142 284 0 61 NA NA NA 556 554 0 121 NA NA NA 675 1347 639 231 NA NA NA 1567 3935 1121 1145 NA NA
1634504400.0 1312.0 NA 146 298 0 NA NA NA NA 596 661 0 NA NA NA NA 752 2100 646 NA NA NA NA 822 4050 1169 NA NA NA
1634504400.0 1313.0 NA 149 312 0 NA NA NA NA 600 626 0 NA NA NA NA 629 2187 597 NA NA NA NA 1080 3138 1031 NA NA NA
1634504400.0 1316.0 NA 140 302 0 NA NA NA NA 600 645 0 NA NA NA NA 657 1830 586 NA NA NA NA 2702 2812 1153 NA NA NA
1634504400.0 132.0 81 110 270 NA NA NA NA 208 583 620 NA NA NA NA 2794 545 2000 NA NA NA NA 1833 1806 3043 NA NA NA NA
1634504400.0 1325.51 NA 141 0 NA NA NA NA NA 231 0 NA NA NA NA NA 1459 154 NA NA NA NA NA 3651 1104 NA NA NA NA
1634504400.0 1326.0 NA 146 305 0 NA NA NA NA 556 647 0 NA NA NA NA 674 1835 600 NA NA NA NA 1104 3171 1123 NA NA NA
1634504400.0 1329.0 NA 144 309 0 NA NA NA NA 557 657 0 NA NA NA NA 725 1882 593 NA NA NA NA 1362 3749 952 NA NA NA
1634504400.0 1339.0 NA 151 319 0 NA NA NA NA 602 664 0 NA NA NA NA 751 2191 605 NA NA NA NA 2423 3305 1348 NA NA NA
1634504400.0 134.0 NA 296 37 0 NA NA NA NA 628 84 0 NA NA NA NA 3409 137 80 NA NA NA NA 5184 372 360 NA NA NA
1634504400.0 134.704 NA 32 316 0 NA NA NA NA 99 661 0 NA NA NA NA 291 6459 698 NA NA NA NA 557 5631 1209 NA NA NA
1634504400.0 134.708 NA 33 314 0 NA NA NA NA 98 638 0 NA NA NA NA 287 5970 669 NA NA NA NA 952 4608 1001 NA NA NA
1634504400.0 134.809 NA 35 324 0 NA NA NA NA 95 652 0 NA NA NA NA 263 7108 639 NA NA NA NA 615 5037 834 NA NA NA
1634504400.0 134.812 NA 33 313 0 NA NA NA NA 90 657 0 NA NA NA NA 259 4936 683 NA NA NA NA 375 4219 913 NA NA NA
1634504400.0 134.901 NA 32 310 0 NA NA NA NA 94 578 0 NA NA NA NA 247 4768 648 NA NA NA NA 1267 5301 910 NA NA NA
1634504400.0 134.911 NA 40 317 0 NA NA NA NA 101 635 0 NA NA NA NA 287 5497 657 NA NA NA NA 482 4752 1039 NA NA NA
1634504400.0 134.99901 NA 34 311 0 NA NA NA NA 103 599 0 NA NA NA NA 272 5758 689 NA NA NA NA 361 6912 1032 NA NA NA
1634504400.0 1341.0 NA 147 312 0 NA NA NA NA 602 666 0 NA NA NA NA 732 2054 610 NA NA NA NA 1166 3323 892 NA NA NA
1634504400.0 1343.0 NA 147 302 0 NA NA NA NA 599 573 0 NA NA NA NA 728 2004 601 NA NA NA NA 2507 4276 1054 NA NA NA
1634504400.0 1349.0 NA 145 304 0 NA NA NA NA 601 674 0 NA NA NA NA 689 1880 594 NA NA NA NA 2068 3477 884 NA NA NA
1634504400.0 135.11 302 0 114 NA NA NA NA 838 0 199 NA NA NA NA 1659 276 675 NA NA NA NA 4137 1463 1230 NA NA NA NA
1634504400.0 1354.0 NA 143 303 0 NA NA NA NA 555 637 0 NA NA NA NA 721 1969 637 NA NA NA NA 1863 3079 1066 NA NA NA
1634504400.0 136.73 NA 85 361 0 NA NA NA NA 155 661 0 NA NA NA NA 548 8220 756 NA NA NA NA 992 4966 1138 NA NA NA
1634504400.0 136.742 NA 88 331 0 NA NA NA NA 150 711 0 NA NA NA NA 590 12968 831 NA NA NA NA 1473 8394 2209 NA NA NA
1634504400.0 136.76 NA 84 347 0 NA NA NA NA 161 740 0 NA NA NA NA 663 17400 824 NA NA NA NA 1207 9281 2309 NA NA NA
1634504400.0 136.762 NA 86 376 0 NA NA NA NA 158 769 0 NA NA NA NA 590 21604 779 NA NA NA NA 681 8958 1191 NA NA NA
1634504400.0 136.769 NA 87 338 0 NA NA NA NA 162 699 0 NA NA NA NA 653 11787 820 NA NA NA NA 773 6937 1617 NA NA NA
1634504400.0 136.772 NA 86 350 0 NA NA NA NA 159 801 0 NA NA NA NA 634 14017 823 NA NA NA NA 1536 6543 1266 NA NA NA
1634504400.0 136.778 NA 86 324 0 NA NA NA NA 154 630 0 NA NA NA NA 574 8432 834 NA NA NA NA 722 7118 1472 NA NA NA
1634504400.0 136.781 NA 101 416 0 NA NA NA NA 171 849 0 NA NA NA NA 541 16715 900 NA NA NA NA 1683 7761 1552 NA NA NA
1634504400.0 136.782 NA 102 408 0 NA NA NA NA 175 846 0 NA NA NA NA 705 17258 890 NA NA NA NA 2109 7737 1126 NA NA NA
1634504400.0 136.783 NA 107 432 0 NA NA NA NA 180 857 0 NA NA NA NA 546 20208 899 NA NA NA NA 784 8487 1635 NA NA NA
1634504400.0 136.784 NA 101 430 0 NA NA NA NA 177 839 0 NA NA NA NA 523 16742 894 NA NA NA NA 2095 7537 1365 NA NA NA
1634504400.0 136.785 NA 105 416 0 NA NA NA NA 182 867 0 NA NA NA NA 622 18205 901 NA NA NA NA 1534 9967 1538 NA NA NA
1634504400.0 136.788 NA 107 426 0 NA NA NA NA 188 846 0 NA NA NA NA 521 19485 893 NA NA NA NA 1500 8935 1212 NA NA NA
1634504400.0 136.816 NA 108 429 0 NA NA NA NA 180 858 0 NA NA NA NA 661 19500 987 NA NA NA NA 1538 8059 1587 NA NA NA
1634504400.0 136.818 NA 106 417 0 NA NA NA NA 187 757 0 NA NA NA NA 644 18082 972 NA NA NA NA 2573 7542 1241 NA NA NA
1634504400.0 136.819 NA 107 436 0 NA NA NA NA 184 840 0 NA NA NA NA 554 21008 972 NA NA NA NA 1028 10177 1650 NA NA NA
1634504400.0 136.82 NA 106 441 0 NA NA NA NA 186 907 0 NA NA NA NA 578 20929 988 NA NA NA NA 752 9391 1402 NA NA NA
1634504400.0 136.821 NA 105 414 0 NA NA NA NA 180 789 0 NA NA NA NA 648 18266 982 NA NA NA NA 2262 7943 1372 NA NA NA
1634504400.0 136.822 NA 103 415 0 NA NA NA NA 172 818 0 NA NA NA NA 542 17686 988 NA NA NA NA 2000 9666 1678 NA NA NA
1634504400.0 136.823 NA 104 475 0 NA NA NA NA 181 872 0 NA NA NA NA 573 17015 994 NA NA NA NA 1865 8309 1771 NA NA NA
1634504400.0 136.824 NA 107 442 0 NA NA NA NA 191 910 0 NA NA NA NA 577 22382 981 NA NA NA NA 644 12067 1408 NA NA NA
1634504400.0 136.828 NA 106 425 0 NA NA NA NA 182 838 0 NA NA NA NA 678 20443 979 NA NA NA NA 2504 8472 1480 NA NA NA
1634504400.0 136.829 NA 108 433 0 NA NA NA NA 173 826 0 NA NA NA NA 552 21067 991 NA NA NA NA 638 9731 1300 NA NA NA
1634504400.0 136.83 NA 105 418 0 NA NA NA NA 179 833 0 NA NA NA NA 653 20711 982 NA NA NA NA 1538 8642 1403 NA NA NA
1634504400.0 136.831 NA 115 435 0 NA NA NA NA 190 826 0 NA NA NA NA 603 22840 983 NA NA NA NA 2172 11116 1455 NA NA NA
1634504400.0 136.832 NA 103 458 0 NA NA NA NA 168 858 0 NA NA NA NA 606 25328 988 NA NA NA NA 1168 11596 1468 NA NA NA
1634504400.0 136.833 NA 105 421 0 NA NA NA NA 174 803 0 NA NA NA NA 617 22586 983 NA NA NA NA 1004 11868 1402 NA NA NA
1634504400.0 136.834 NA 105 421 0 NA NA NA NA 180 803 0 NA NA NA NA 562 21161 981 NA NA NA NA 2038 9908 1485 NA NA NA
1634504400.0 136.835 NA 106 483 0 NA NA NA NA 182 911 0 NA NA NA NA 627 18720 995 NA NA NA NA 2433 7939 1342 NA NA NA
1634504400.0 136.836 NA 108 445 0 NA NA NA NA 179 916 0 NA NA NA NA 589 22541 999 NA NA NA NA 690 10890 1867 NA NA NA
1634504400.0 136.838 NA 107 424 0 NA NA NA NA 188 871 0 NA NA NA NA 723 20500 987 NA NA NA NA 1026 10847 1998 NA NA NA
1634504400.0 136.8391 NA 150 425 0 NA NA NA NA 245 833 0 NA NA NA NA 2290 17999 858 NA NA NA NA 2388 7702 1123 NA NA NA
1634504400.0 136.842 NA 106 431 0 NA NA NA NA 184 880 0 NA NA NA NA 621 21764 998 NA NA NA NA 1775 11829 1502 NA NA NA
1634504400.0 136.847 NA 108 430 0 NA NA NA NA 185 806 0 NA NA NA NA 692 18712 984 NA NA NA NA 2285 8450 1442 NA NA NA
1634504400.0 136.848 NA 107 433 0 NA NA NA NA 182 861 0 NA NA NA NA 679 22169 979 NA NA NA NA 1036 11164 2000 NA NA NA
1634504400.0 136.856 NA 229 414 0 NA NA NA NA 390 788 0 NA NA NA NA 2689 11043 1352 NA NA NA NA 3148 5722 1677 NA NA NA
1634504400.0 136.857 NA 234 442 0 NA NA NA NA 383 823 0 NA NA NA NA 3348 14529 1250 NA NA NA NA 4773 6746 1924 NA NA NA
1634504400.0 136.862 NA 250 489 0 NA NA NA NA 408 872 0 NA NA NA NA 3734 21164 1314 NA NA NA NA 5025 9652 1855 NA NA NA
1634504400.0 136.863 NA 250 439 0 NA NA NA NA 422 813 0 NA NA NA NA 3927 19433 1312 NA NA NA NA 5042 8228 1818 NA NA NA
1634504400.0 136.8643 NA 259 483 0 NA NA NA NA 416 928 0 NA NA NA NA 3840 22086 1291 NA NA NA NA 4490 11310 2335 NA NA NA
1634504400.0 136.866 NA 255 459 0 NA NA NA NA 419 856 0 NA NA NA NA 4027 20562 1322 NA NA NA NA 5089 9243 1868 NA NA NA
1634504400.0 136.87 NA 231 352 0 NA NA NA NA 375 695 0 NA NA NA NA 2081 3796 1170 NA NA NA NA 3819 4846 1676 NA NA NA
1634504400.0 136.884 NA 233 446 0 NA NA NA NA 403 824 0 NA NA NA NA 3746 19625 1318 NA NA NA NA 4974 8651 1788 NA NA NA
1634504400.0 136.886 NA 260 482 0 NA NA NA NA 413 928 0 NA NA NA NA 3429 17982 1298 NA NA NA NA 3748 8741 1716 NA NA NA
1634504400.0 136.889 NA 246 486 0 NA NA NA NA 421 850 0 NA NA NA NA 3588 20203 1336 NA NA NA NA 4934 8701 1940 NA NA NA
1634504400.0 136.89 NA 245 458 0 NA NA NA NA 400 797 0 NA NA NA NA 3699 18200 1305 NA NA NA NA 5709 9288 1697 NA NA NA
1634504400.0 136.893 NA 239 454 0 NA NA NA NA 417 773 0 NA NA NA NA 3881 18289 1329 NA NA NA NA 5170 9333 1786 NA NA NA
1634504400.0 136.895 NA 253 464 0 NA NA NA NA 441 819 0 NA NA NA NA 4252 19543 1300 NA NA NA NA 5777 8756 2468 NA NA NA
1634504400.0 136.896 NA 233 453 0 NA NA NA NA 401 853 0 NA NA NA NA 3776 20033 1322 NA NA NA NA 4981 8702 1736 NA NA NA
1634504400.0 1361.18 68 295 382 0 NA NA NA 149 585 718 0 NA NA NA 7787 3028 2292 1783 NA NA NA 5485 2787 4610 2448 NA NA NA
1634504400.0 1362.0 85 147 308 0 NA NA NA 179 599 622 0 NA NA NA 9747 692 1941 613 NA NA NA 5495 1826 3798 1077 NA NA NA
1634504400.0 1362.18 67 295 390 0 NA NA NA 147 630 650 0 NA NA NA 9865 3044 2297 1789 NA NA NA 6410 3099 3828 3086 NA NA NA
1634504400.0 1363.18 67 293 388 0 NA NA NA 144 586 766 0 NA NA NA 9704 3058 2299 1775 NA NA NA 5543 3057 5578 2320 NA NA NA
1634504400.0 1364.0 NA 144 298 0 NA NA NA NA 601 664 0 NA NA NA NA 693 1866 592 NA NA NA NA 1669 3550 965 NA NA NA
