Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634590800.0 136.852 NA 133 505 0 NA NA NA 1071 1751 0 NA NA NA 1819 51591 1636 NA NA NA 759 16217 1705 NA NA
1634590800.0 136.856 NA 137 501 0 NA NA NA 1073 1687 0 NA NA NA 1401 25478 1246 NA NA NA 674 9777 1280 NA NA
1634590800.0 136.859 NA 139 512 0 NA NA NA 1080 1773 0 NA NA NA 2046 67860 1748 NA NA NA 828 20466 1779 NA NA
1634590800.0 136.871 NA 138 517 0 NA NA NA 1079 1751 0 NA NA NA 1999 90528 1807 NA NA NA 764 27096 1842 NA NA
1634590800.0 136.873 NA 138 466 0 NA NA NA 1079 1692 0 NA NA NA 2071 62120 1620 NA NA NA 800 18815 1689 NA NA
1634590800.0 136.875 NA 150 463 0 NA NA NA 1089 1676 0 NA NA NA 2315 65248 1696 NA NA NA 826 20357 1766 NA NA
1634590800.0 136.885 NA 151 460 0 NA NA NA 1084 1709 0 NA NA NA 2049 62429 1586 NA NA NA 743 19172 1637 NA NA
1634590800.0 136.891 NA 150 566 0 NA NA NA 1076 1725 0 NA NA NA 2187 64305 1679 NA NA NA 808 19964 1753 NA NA
1634590800.0 136.896 NA 149 476 0 NA NA NA 1080 1710 0 NA NA NA 2412 66508 1565 NA NA NA 900 20628 1611 NA NA
1634590800.0 136.898 NA 123 518 0 NA NA NA 1076 1732 0 NA NA NA 2149 68813 1685 NA NA NA 827 20647 1729 NA NA
1634590800.0 1361.17 0 NA NA NA NA NA 0 NA NA NA NA NA 1355 NA NA NA NA NA 1358 NA NA NA NA NA
1634590800.0 1361.18 0 NA NA NA NA NA 0 NA NA NA NA NA 1210 NA NA NA NA NA 1209 NA NA NA NA NA
1634590800.0 1361.181 0 NA NA NA NA NA 0 NA NA NA NA NA 1208 NA NA NA NA NA 1206 NA NA NA NA NA
1634590800.0 1362.17 0 NA NA NA NA NA 0 NA NA NA NA NA 1157 NA NA NA NA NA 1158 NA NA NA NA NA
1634590800.0 1362.18 0 NA NA NA NA NA 0 NA NA NA NA NA 1231 NA NA NA NA NA 1229 NA NA NA NA NA
1634590800.0 1363.17 0 NA NA NA NA NA 0 NA NA NA NA NA 1411 NA NA NA NA NA 1413 NA NA NA NA NA
