Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1634677200.0 1010.0 NA 47 53 0 NA NA 1098 586 0 NA NA 271 420 304 NA NA 340 464 363 NA
1634677200.0 102.0 104 NA NA NA NA 495 NA NA NA NA 1200 NA NA NA NA 1245 NA NA NA NA
1634677200.0 1020.0 NA 60 27 0 45 NA 1098 584 0 1098 NA 379 260 122 453 NA 425 306 151 539
1634677200.0 1040.1 NA 73 33 0 NA NA 1100 583 0 NA NA 621 306 220 NA NA 851 347 267 NA
1634677200.0 1041.0 NA 71 38 0 NA NA 1100 584 0 NA NA 489 337 150 NA NA 628 392 212 NA
1634677200.0 123.1 399 NA NA NA NA 895 NA NA NA NA 1503 NA NA NA NA 1123 NA NA NA NA
1634677200.0 123.2 386 NA NA NA NA 959 NA NA NA NA 2347 NA NA NA NA 1677 NA NA NA NA
1634677200.0 123.3 318 NA NA NA NA 830 NA NA NA NA 1203 NA NA NA NA 1011 NA NA NA NA
1634677200.0 124.1 390 NA NA NA NA 829 NA NA NA NA 1783 NA NA NA NA 1478 NA NA NA NA
1634677200.0 124.2 393 NA NA NA NA 894 NA NA NA NA 1980 NA NA NA NA 1584 NA NA NA NA
1634677200.0 124.4 374 NA NA NA NA 893 NA NA NA NA 1208 NA NA NA NA 1005 NA NA NA NA
1634677200.0 124.5 375 NA NA NA NA 894 NA NA NA NA 1296 NA NA NA NA 1071 NA NA NA NA
1634677200.0 124.6 320 NA NA NA NA 829 NA NA NA NA 1689 NA NA NA NA 1375 NA NA NA NA
1634677200.0 136.7801 NA 125 0 NA NA NA 1166 0 NA NA NA 938 356 NA NA NA 955 405 NA NA
1634677200.0 136.7802 NA 91 0 NA NA NA 1100 0 NA NA NA 430 318 NA NA NA 506 368 NA NA
1634677200.0 136.7803 NA 119 0 NA NA NA 1168 0 NA NA NA 971 332 NA NA NA 1203 383 NA NA
1634677200.0 136.885521 NA 125 94 0 NA NA 1578 595 0 NA NA 1180 1001 267 NA NA 729 661 293 NA
1634677200.0 136.888501 NA 126 105 0 NA NA 1578 658 0 NA NA 1241 1137 249 NA NA 730 881 279 NA
1634677200.0 140.56 NA 790 0 NA NA NA 2527 0 NA NA NA 54192 896 NA NA NA 26663 941 NA NA
1634677200.0 5.2 321 0 NA NA NA 830 0 NA NA NA 1276 373 NA NA NA 1078 400 NA NA NA
1634677200.0 5.4 381 0 NA NA NA 895 0 NA NA NA 1769 495 NA NA NA 1373 555 NA NA NA
1634677200.0 5.5 380 0 NA NA NA 894 0 NA NA NA 1359 381 NA NA NA 1053 418 NA NA NA
1634677200.0 5.6 379 0 NA NA NA 895 0 NA NA NA 1896 475 NA NA NA 1398 525 NA NA NA
1634677200.0 5.7 383 0 NA NA NA 895 0 NA NA NA 1468 598 NA NA NA 1094 639 NA NA NA
1634677200.0 500202.0 NA NA 383 0 NA NA NA 1367 0 NA NA NA 6458 1107 NA NA NA 3793 1153 NA
1634677200.0 500207.0 NA NA 364 0 NA NA NA 1303 0 NA NA NA 5299 951 NA NA NA 3555 1016 NA
1634677200.0 504.0 43 0 NA NA NA 467 0 NA NA NA 449 309 NA NA NA 383 361 NA NA NA
1634677200.0 505.0 43 0 NA NA NA 467 0 NA NA NA 438 320 NA NA NA 396 378 NA NA NA
1634677200.0 506.0 50 0 NA NA NA 467 0 NA NA NA 411 309 NA NA NA 375 360 NA NA NA
1634677200.0 508.0 42 0 NA NA NA 467 0 NA NA NA 421 321 NA NA NA 376 367 NA NA NA
1634677200.0 509.0 42 0 NA NA NA 467 0 NA NA NA 407 315 NA NA NA 405 364 NA NA NA
1634677200.0 511.0 60 0 NA NA NA 471 0 NA NA NA 21686 398 NA NA NA 21876 439 NA NA NA
1634677200.0 531.0 52 0 NA NA NA 580 0 NA NA NA 302 294 NA NA NA 331 343 NA NA NA
1634677200.0 541.0 41 0 NA NA NA 467 0 NA NA NA 362 293 NA NA NA 412 333 NA NA NA
1634677200.0 545.0 55 0 NA NA NA 467 0 NA NA NA 462 296 NA NA NA 496 351 NA NA NA
1634677200.0 546.0 59 61 NA NA NA 467 503 NA NA NA 393 460 NA NA NA 335 517 NA NA NA
1634677200.0 560.0 41 0 NA NA NA 467 0 NA NA NA 439 337 NA NA NA 393 383 NA NA NA
1634677200.0 561.0 43 0 NA NA NA 467 0 NA NA NA 438 286 NA NA NA 401 326 NA NA NA
1634677200.0 570.0 37 0 NA NA NA 465 0 NA NA NA 600 328 NA NA NA 539 376 NA NA NA
1634677200.0 571.0 32 0 NA NA NA 465 0 NA NA NA 729 297 NA NA NA 560 342 NA NA NA
1634677200.0 572.0 43 0 NA NA NA 463 0 NA NA NA 513 312 NA NA NA 511 356 NA NA NA
1634677200.0 574.0 45 0 NA NA NA 463 0 NA NA NA 1800 297 NA NA NA 1033 344 NA NA NA
1634677200.0 575.0 44 0 NA NA NA 463 0 NA NA NA 673 295 NA NA NA 528 342 NA NA NA
1634677200.0 576.0 41 0 NA NA NA 463 0 NA NA NA 421 290 NA NA NA 451 340 NA NA NA
1634677200.0 577.0 41 0 NA NA NA 463 0 NA NA NA 396 314 NA NA NA 438 369 NA NA NA
