Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634374800.0 1.0 80 117 174 NA NA NA NA NA NA 245 233 478 NA NA NA NA NA NA 1370 368 920 NA NA NA NA NA NA 1288 1282 1242 NA NA NA NA NA NA
1634374800.0 10.0 NA 143 296 0 NA NA NA NA NA NA 278 638 0 NA NA NA NA NA NA 1870 3116 460 NA NA NA NA NA NA 2678 4093 705 NA NA NA NA NA
1634374800.0 1000.0 NA 267 137 0 64 NA NA NA NA NA 504 307 0 154 NA NA NA NA NA 2935 1223 377 393 NA NA NA NA NA 3118 2978 780 484 NA NA NA NA
1634374800.0 10001.0 NA 225 450 0 98 157 NA NA NA NA 451 888 0 191 308 NA NA NA NA 2886 1744 517 354 939 NA NA NA NA 2961 3283 1113 514 1822 NA NA NA
1634374800.0 10002.0 NA 222 437 0 79 171 NA NA NA NA 426 888 0 194 345 NA NA NA NA 2610 1669 497 354 908 NA NA NA NA 1549 2479 1253 862 1619 NA NA NA
1634374800.0 10003.0 NA 220 434 0 80 176 NA NA NA NA 404 917 0 186 351 NA NA NA NA 2571 1713 481 357 880 NA NA NA NA 1805 3460 1629 1413 1224 NA NA NA
1634374800.0 10004.0 NA 220 437 0 78 151 NA NA NA NA 429 884 0 195 290 NA NA NA NA 2616 1648 477 354 851 NA NA NA NA 1419 2313 1156 1627 1422 NA NA NA
1634374800.0 10005.0 NA 226 434 0 79 173 NA NA NA NA 430 906 0 194 349 NA NA NA NA 2634 1664 483 351 887 NA NA NA NA 1834 2524 1076 1517 1438 NA NA NA
1634374800.0 10006.0 NA 214 424 0 80 141 NA NA NA NA 431 887 0 186 277 NA NA NA NA 2876 1739 520 396 922 NA NA NA NA 2006 2169 1404 1364 1310 NA NA NA
1634374800.0 10007.0 NA 228 431 0 107 152 NA NA NA NA 427 882 0 267 315 NA NA NA NA 2636 1676 480 506 823 NA NA NA NA 1967 3848 1103 824 1317 NA NA NA
1634374800.0 10008.0 NA 227 432 0 106 169 NA NA NA NA 430 872 0 268 357 NA NA NA NA 2623 1665 478 499 886 NA NA NA NA 1236 3354 990 953 1652 NA NA NA
1634374800.0 10009.0 NA 227 436 0 108 174 NA NA NA NA 436 890 0 268 351 NA NA NA NA 2627 1704 481 522 894 NA NA NA NA 1325 2970 889 2576 1279 NA NA NA
1634374800.0 1001.0 NA 258 127 0 0 0 0 0 0 NA 457 269 0 0 0 0 0 0 NA 2573 602 111 88 118 288 144 284 NA 3587 2600 583 205 486 665 420 373
1634374800.0 1001.2 NA 504 195 0 NA NA NA NA NA NA 877 480 0 NA NA NA NA NA NA 15381 2105 133 NA NA NA NA NA NA 7176 2331 280 NA NA NA NA NA
1634374800.0 1002.0 NA 271 80 NA NA NA NA NA NA NA 588 165 NA NA NA NA NA NA NA 2759 354 NA NA NA NA NA NA NA 3285 304 NA NA NA NA NA NA
1634374800.0 10023.0 NA 218 428 0 76 141 NA NA NA NA 422 885 0 185 286 NA NA NA NA 2634 1625 482 356 852 NA NA NA NA 1604 2960 972 1657 1424 NA NA NA
1634374800.0 10024.0 NA 234 451 0 108 174 NA NA NA NA 430 891 0 273 345 NA NA NA NA 2681 1913 500 512 928 NA NA NA NA 1894 2605 904 1746 1393 NA NA NA
1634374800.0 10024.1 NA 232 455 0 NA NA NA NA NA NA 461 908 0 NA NA NA NA NA NA 2726 1901 498 NA NA NA NA NA NA 1451 2394 621 NA NA NA NA NA
1634374800.0 10024.2 NA 235 453 0 NA NA NA NA NA NA 447 906 0 NA NA NA NA NA NA 2718 1895 503 NA NA NA NA NA NA 1512 2784 699 NA NA NA NA NA
1634374800.0 10024.3 NA 233 456 0 NA NA NA NA NA NA 440 896 0 NA NA NA NA NA NA 2726 1904 507 NA NA NA NA NA NA 1269 2394 1000 NA NA NA NA NA
1634374800.0 10024.4 NA 231 457 0 NA NA NA NA NA NA 438 925 0 NA NA NA NA NA NA 2724 1930 492 NA NA NA NA NA NA 1978 2216 590 NA NA NA NA NA
1634374800.0 10024.5 NA 232 453 0 NA NA NA NA NA NA 460 894 0 NA NA NA NA NA NA 2723 1921 503 NA NA NA NA NA NA 1626 2087 588 NA NA NA NA NA
1634374800.0 10025.0 NA 226 444 0 79 172 NA NA NA NA 431 893 0 194 350 NA NA NA NA 2603 1695 494 354 892 NA NA NA NA 1749 2913 1084 1135 2042 NA NA NA
1634374800.0 10026.0 NA 231 464 0 81 178 NA NA NA NA 446 934 0 198 345 NA NA NA NA 2715 2077 512 373 932 NA NA NA NA 1865 3018 1331 1391 1319 NA NA NA
1634374800.0 1003.0 NA 281 NA NA NA NA NA NA NA NA 577 NA NA NA NA NA NA NA NA 1123 NA NA NA NA NA NA NA NA 6260 NA NA NA NA NA NA NA
1634374800.0 1004.0 NA 229 90 0 0 0 0 NA NA NA 410 199 0 0 0 0 NA NA NA 1275 314 74 112 263 262 NA NA NA 2115 1277 150 643 418 420 NA NA
1634374800.0 10042.0 NA 232 438 0 108 171 NA NA NA NA 435 897 0 269 349 NA NA NA NA 2630 1731 496 525 904 NA NA NA NA 2608 2953 1082 1750 1668 NA NA NA
1634374800.0 10059.0 NA 236 458 0 81 177 NA NA NA NA 429 945 0 195 347 NA NA NA NA 2725 2422 511 355 889 NA NA NA NA 1796 3816 940 974 1258 NA NA NA
1634374800.0 10071.0 NA 233 451 0 81 176 NA NA NA NA 441 912 0 196 352 NA NA NA NA 2699 1834 494 366 921 NA NA NA NA 1834 2387 825 1418 1776 NA NA NA
1634374800.0 101.0 81 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 910 NA NA NA NA NA NA NA NA 1187 NA NA NA NA NA NA NA NA
1634374800.0 1010.0 NA 26 48 0 NA NA NA NA NA NA 129 159 0 NA NA NA NA NA NA 189 266 157 NA NA NA NA NA NA 441 513 264 NA NA NA NA NA
1634374800.0 102.0 91 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 790 NA NA NA NA NA NA NA NA 1384 NA NA NA NA NA NA NA NA
1634374800.0 1020.0 NA 55 21 0 40 NA NA NA NA NA 187 116 0 187 NA NA NA NA NA 299 176 78 299 NA NA NA NA NA 582 425 153 486 NA NA NA NA
1634374800.0 10224.0 NA 391 677 0 175 NA NA NA NA NA 618 1207 0 345 NA NA NA NA NA 4706 3644 523 934 NA NA NA NA NA 3581 3914 726 1561 NA NA NA NA
1634374800.0 10225.0 NA 394 664 0 174 NA NA NA NA NA 668 1250 0 346 NA NA NA NA NA 4757 3491 513 909 NA NA NA NA NA 2934 5588 795 1510 NA NA NA NA
1634374800.0 103.0 69 108 259 NA NA NA NA NA NA 205 227 551 NA NA NA NA NA NA 703 267 1309 NA NA NA NA NA NA 1555 995 2732 NA NA NA NA NA NA
1634374800.0 1030.0 NA 187 41 0 0 NA NA NA NA NA 421 150 0 0 NA NA NA NA NA 7387 318 79 80 NA NA NA NA NA 3400 599 204 187 NA NA NA NA
1634374800.0 1040.0 NA 451 35 0 NA NA NA NA NA NA 831 120 0 NA NA NA NA NA NA 11216 208 121 NA NA NA NA NA NA 4633 417 373 NA NA NA NA NA
1634374800.0 1040.1 NA 65 25 0 NA NA NA NA NA NA 184 120 0 NA NA NA NA NA NA 453 217 128 NA NA NA NA NA NA 731 379 231 NA NA NA NA NA
1634374800.0 1041.0 NA 63 32 0 NA NA NA NA NA NA 180 131 0 NA NA NA NA NA NA 329 227 94 NA NA NA NA NA NA 852 379 211 NA NA NA NA NA
1634374800.0 10424.0 NA 183 421 0 NA NA NA NA NA NA 353 809 0 NA NA NA NA NA NA 1002 1788 516 NA NA NA NA NA NA 1785 4084 936 NA NA NA NA NA
1634374800.0 105.0 74 112 36 NA NA NA NA NA NA 252 232 122 NA NA NA NA NA NA 1534 419 183 NA NA NA NA NA NA 2114 720 326 NA NA NA NA NA NA
1634374800.0 106.0 61 0 0 NA NA NA NA NA NA 187 0 0 NA NA NA NA NA NA 585 146 1139 NA NA NA NA NA NA 1304 551 1729 NA NA NA NA NA NA
1634374800.0 107.0 90 118 270 NA NA NA NA NA NA 261 238 568 NA NA NA NA NA NA 1846 412 1428 NA NA NA NA NA NA 1946 1221 1940 NA NA NA NA NA NA
1634374800.0 108.0 82 124 271 NA NA NA NA NA NA 261 234 569 NA NA NA NA NA NA 2098 419 1491 NA NA NA NA NA NA 1176 2171 2381 NA NA NA NA NA NA
1634374800.0 10801.0 NA 217 430 0 79 153 NA NA NA NA 421 846 0 196 312 NA NA NA NA 2458 1660 486 351 893 NA NA NA NA 2153 3165 1107 1367 1651 NA NA NA
1634374800.0 10802.0 NA 218 432 0 79 174 NA NA NA NA 423 898 0 186 344 NA NA NA NA 2476 1654 489 363 920 NA NA NA NA 2086 2758 1416 1674 1695 NA NA NA
1634374800.0 10803.0 NA 217 435 0 80 178 NA NA NA NA 414 879 0 197 350 NA NA NA NA 2474 1677 481 357 909 NA NA NA NA 1809 2801 1236 1372 1518 NA NA NA
1634374800.0 10804.0 NA 213 427 0 76 166 NA NA NA NA 427 886 0 186 343 NA NA NA NA 2505 1666 473 347 879 NA NA NA NA 2059 2883 1249 1143 2124 NA NA NA
1634374800.0 10805.0 NA 215 431 0 78 173 NA NA NA NA 434 897 0 185 351 NA NA NA NA 2798 1828 514 391 987 NA NA NA NA 1895 3116 773 1366 1372 NA NA NA
1634374800.0 10806.0 NA 214 422 0 76 144 NA NA NA NA 422 899 0 185 285 NA NA NA NA 2734 1798 516 398 938 NA NA NA NA 1579 3423 800 1707 2658 NA NA NA
1634374800.0 10807.0 NA 215 428 0 105 157 NA NA NA NA 406 881 0 265 311 NA NA NA NA 2479 1674 486 511 904 NA NA NA NA 1681 3432 936 1642 1903 NA NA NA
1634374800.0 10808.0 NA 216 429 0 105 173 NA NA NA NA 440 889 0 266 348 NA NA NA NA 2813 1830 524 565 998 NA NA NA NA 1923 3731 1163 2335 2106 NA NA NA
1634374800.0 10809.0 NA 219 439 0 105 177 NA NA NA NA 407 897 0 270 350 NA NA NA NA 2486 1733 491 507 934 NA NA NA NA 1374 4341 1680 1263 1951 NA NA NA
1634374800.0 10823.0 NA 207 426 0 81 155 NA NA NA NA 421 902 0 195 312 NA NA NA NA 2780 1812 530 400 960 NA NA NA NA 1518 3669 1025 2723 3320 NA NA NA
1634374800.0 10824.0 NA 230 447 0 106 180 NA NA NA NA 432 899 0 264 344 NA NA NA NA 2527 1886 501 516 919 NA NA NA NA 1849 3168 1067 1829 1577 NA NA NA
1634374800.0 10824.1 NA 229 447 0 NA NA NA NA NA NA 445 897 0 NA NA NA NA NA NA 2556 1888 496 NA NA NA NA NA NA 1392 2198 582 NA NA NA NA NA
1634374800.0 10824.5 NA 223 449 0 NA NA NA NA NA NA 443 898 0 NA NA NA NA NA NA 2597 1866 500 NA NA NA NA NA NA 1402 2772 562 NA NA NA NA NA
1634374800.0 10824.501 NA 227 96 0 NA NA NA NA NA NA 445 281 0 NA NA NA NA NA NA 2839 577 281 NA NA NA NA NA NA 1305 981 537 NA NA NA NA NA
1634374800.0 10824.505 NA 228 96 0 NA NA NA NA NA NA 443 284 0 NA NA NA NA NA NA 2853 605 240 NA NA NA NA NA NA 1389 1101 287 NA NA NA NA NA
1634374800.0 10824.511 NA 222 68 0 NA NA NA NA NA NA 423 196 0 NA NA NA NA NA NA 2858 414 169 NA NA NA NA NA NA 1489 562 205 NA NA NA NA NA
1634374800.0 10824.521 NA 221 74 0 NA NA NA NA NA NA 422 176 0 NA NA NA NA NA NA 2875 325 171 NA NA NA NA NA NA 1461 347 207 NA NA NA NA NA
1634374800.0 10824.6 NA 224 447 0 81 180 NA NA NA NA 426 908 0 196 342 NA NA NA NA 2565 1877 501 364 938 NA NA NA NA 2448 2953 931 1140 1709 NA NA NA
1634374800.0 10824.8 NA 219 446 0 107 182 NA NA NA NA 445 907 0 264 345 NA NA NA NA 2546 1872 510 518 939 NA NA NA NA 1220 3153 1200 1162 1355 NA NA NA
1634374800.0 10825.0 NA 220 438 0 79 181 NA NA NA NA 418 913 0 196 348 NA NA NA NA 2516 1738 511 359 910 NA NA NA NA 1242 3054 1033 1720 1455 NA NA NA
1634374800.0 10826.0 NA 223 448 0 81 177 NA NA NA NA 446 918 0 197 347 NA NA NA NA 2539 1998 516 367 938 NA NA NA NA 1256 3080 1155 1179 1670 NA NA NA
1634374800.0 10842.0 NA 221 436 0 106 171 NA NA NA NA 431 900 0 266 346 NA NA NA NA 2536 1726 518 525 920 NA NA NA NA 1268 2955 1294 1945 1827 NA NA NA
1634374800.0 10842.501 NA 218 95 0 NA NA NA NA NA NA 437 283 0 NA NA NA NA NA NA 2820 566 219 NA NA NA NA NA NA 1248 988 262 NA NA NA NA NA
1634374800.0 10842.505 NA 224 98 0 NA NA NA NA NA NA 433 279 0 NA NA NA NA NA NA 2842 496 212 NA NA NA NA NA NA 1499 608 251 NA NA NA NA NA
1634374800.0 10859.0 NA 237 453 0 82 179 NA NA NA NA 443 937 0 195 339 NA NA NA NA 2574 2633 510 376 940 NA NA NA NA 2715 3237 1067 863 1389 NA NA NA
1634374800.0 10871.0 NA 224 451 0 81 177 NA NA NA NA 415 901 0 198 346 NA NA NA NA 2825 2090 564 401 998 NA NA NA NA 1707 3818 1131 948 1354 NA NA NA
1634374800.0 109.0 86 125 276 NA NA NA NA NA NA 257 235 565 NA NA NA NA NA NA 2757 477 1673 NA NA NA NA NA NA 2945 1256 2484 NA NA NA NA NA NA
1634374800.0 11.0 NA 123 288 0 64 NA NA NA NA NA 261 490 0 168 NA NA NA NA NA 1637 1725 542 326 NA NA NA NA NA 1227 2183 1828 611 NA NA NA NA
1634374800.0 110.0 64 116 263 NA NA NA NA NA NA 192 226 578 NA NA NA NA NA NA 643 370 1363 NA NA NA NA NA NA 2285 1575 2006 NA NA NA NA NA NA
1634374800.0 1102.0 NA 138 293 137 96 NA NA NA NA NA 286 609 327 199 NA NA NA NA NA 2305 4301 2165 368 NA NA NA NA NA 2687 3686 2060 316 NA NA NA NA
1634374800.0 11024.0 NA 437 762 0 180 NA NA NA NA NA 696 1249 0 351 NA NA NA NA NA 5798 4440 526 916 NA NA NA NA NA 3615 6377 1021 2025 NA NA NA NA
1634374800.0 11024.2 NA 423 749 0 173 NA NA NA NA NA 757 1272 0 344 NA NA NA NA NA 5827 5094 532 838 NA NA NA NA NA 4224 5674 894 1723 NA NA NA NA
1634374800.0 11024.6 NA 430 757 0 180 NA NA NA NA NA 712 1287 0 353 NA NA NA NA NA 5806 4529 529 941 NA NA NA NA NA 3742 6121 914 1394 NA NA NA NA
1634374800.0 11025.0 NA 444 757 0 178 NA NA NA NA NA 694 1304 0 348 NA NA NA NA NA 5646 4287 514 965 NA NA NA NA NA 3313 5257 724 1456 NA NA NA NA
1634374800.0 111.0 88 120 262 NA NA NA NA NA NA 253 231 562 NA NA NA NA NA NA 1213 335 1372 NA NA NA NA NA NA 1881 938 1932 NA NA NA NA NA NA
1634374800.0 112.0 82 120 269 NA NA NA NA NA NA 254 235 558 NA NA NA NA NA NA 1564 391 1386 NA NA NA NA NA NA 1655 980 1800 NA NA NA NA NA NA
1634374800.0 11224.0 NA 183 422 0 NA NA NA NA NA NA 368 814 0 NA NA NA NA NA NA 1137 1971 551 NA NA NA NA NA NA 1122 2784 830 NA NA NA NA NA
1634374800.0 11224.6 NA 191 426 0 NA NA NA NA NA NA 361 796 0 NA NA NA NA NA NA 1040 1790 507 NA NA NA NA NA NA 1701 2910 753 NA NA NA NA NA
1634374800.0 113.0 92 121 270 NA NA NA NA NA NA 260 240 579 NA NA NA NA NA NA 1673 408 1422 NA NA NA NA NA NA 2804 1348 2378 NA NA NA NA NA NA
1634374800.0 114.0 90 123 271 NA NA NA NA NA NA 269 241 570 NA NA NA NA NA NA 1825 416 1417 NA NA NA NA NA NA 1783 1238 2239 NA NA NA NA NA NA
1634374800.0 115.0 86 113 269 NA NA NA NA NA NA 262 234 572 NA NA NA NA NA NA 1964 422 1461 NA NA NA NA NA NA 2078 1150 2943 NA NA NA NA NA NA
1634374800.0 116.0 91 125 269 NA NA NA NA NA NA 264 238 578 NA NA NA NA NA NA 2228 466 1639 NA NA NA NA NA NA 1531 1706 2332 NA NA NA NA NA NA
1634374800.0 11601.0 NA 259 570 0 89 NA NA NA NA NA 491 950 0 210 NA NA NA NA NA 1475 2704 694 893 NA NA NA NA NA 1834 4525 1157 1581 NA NA NA NA
1634374800.0 11602.0 NA 271 590 0 89 NA NA NA NA NA 484 1023 0 203 NA NA NA NA NA 1536 2720 690 897 NA NA NA NA NA 1823 5726 929 1385 NA NA NA NA
1634374800.0 11603.0 NA 275 594 0 89 NA NA NA NA NA 510 1008 0 201 NA NA NA NA NA 1501 2819 685 892 NA NA NA NA NA 1828 4998 887 1187 NA NA NA NA
1634374800.0 11604.0 NA 261 577 0 90 NA NA NA NA NA 478 1015 0 201 NA NA NA NA NA 1481 2677 671 910 NA NA NA NA NA 2354 4814 857 1729 NA NA NA NA
1634374800.0 11605.0 NA 265 588 0 92 NA NA NA NA NA 492 1016 0 206 NA NA NA NA NA 1503 2746 684 890 NA NA NA NA NA 1631 4939 1688 1577 NA NA NA NA
1634374800.0 11606.0 NA 262 561 0 100 NA NA NA NA NA 507 970 0 205 NA NA NA NA NA 1445 2635 676 899 NA NA NA NA NA 1819 4527 1192 1275 NA NA NA NA
1634374800.0 11607.0 NA 266 566 0 113 NA NA NA NA NA 503 1002 0 265 NA NA NA NA NA 1525 2707 697 973 NA NA NA NA NA 1808 4909 1278 1477 NA NA NA NA
1634374800.0 11608.0 NA 273 587 0 109 NA NA NA NA NA 483 1049 0 243 NA NA NA NA NA 1545 2794 694 992 NA NA NA NA NA 1702 4639 1185 1917 NA NA NA NA
1634374800.0 11609.0 NA 272 584 0 109 NA NA NA NA NA 498 1054 0 249 NA NA NA NA NA 1520 2800 692 952 NA NA NA NA NA 2311 5074 1185 1539 NA NA NA NA
1634374800.0 11630.0 NA 299 616 0 92 NA NA NA NA NA 535 1077 0 210 NA NA NA NA NA 1768 3634 732 911 NA NA NA NA NA 1671 5194 1296 1513 NA NA NA NA
1634374800.0 11634.0 NA 292 609 0 116 NA NA NA NA NA 504 1057 0 251 NA NA NA NA NA 1679 3099 741 997 NA NA NA NA NA 2818 5015 1203 1792 NA NA NA NA
1634374800.0 11634.1 NA 290 219 0 NA NA NA NA NA NA 528 405 0 NA NA NA NA NA NA 1640 1023 435 NA NA NA NA NA NA 2576 2578 619 NA NA NA NA NA
1634374800.0 11634.24 NA 212 453 0 89 NA NA NA NA NA 410 882 0 196 NA NA NA NA NA 999 2223 758 933 NA NA NA NA NA 1620 3877 1168 1540 NA NA NA NA
1634374800.0 11634.5 NA 286 111 0 NA NA NA NA NA NA 499 307 0 NA NA NA NA NA NA 1676 722 237 NA NA NA NA NA NA 1948 1331 404 NA NA NA NA NA
1634374800.0 11634.501 NA 292 118 0 NA NA NA NA NA NA 520 325 0 NA NA NA NA NA NA 1670 783 240 NA NA NA NA NA NA 3120 1384 318 NA NA NA NA NA
1634374800.0 11634.505 NA 285 119 0 NA NA NA NA NA NA 523 304 0 NA NA NA NA NA NA 1666 780 260 NA NA NA NA NA NA 2166 1315 428 NA NA NA NA NA
1634374800.0 11634.511 NA 288 95 0 NA NA NA NA NA NA 513 235 0 NA NA NA NA NA NA 1879 694 211 NA NA NA NA NA NA 2618 1152 354 NA NA NA NA NA
1634374800.0 11634.521 NA 292 93 0 NA NA NA NA NA NA 511 218 0 NA NA NA NA NA NA 1861 690 217 NA NA NA NA NA NA 3003 1222 339 NA NA NA NA NA
1634374800.0 11634.7 NA 293 530 0 NA NA NA NA NA NA 505 920 0 NA NA NA NA NA NA 1818 2683 798 NA NA NA NA NA NA 1973 3787 1529 NA NA NA NA NA
1634374800.0 11634.91 NA 289 526 0 115 NA NA NA NA NA 520 911 0 247 NA NA NA NA NA 1629 2464 720 986 NA NA NA NA NA 2051 4308 1205 1552 NA NA NA NA
1634374800.0 11634.911 92 296 528 0 113 NA NA NA NA 222 510 943 0 258 NA NA NA NA 3983 3005 3787 1411 1628 NA NA NA NA 5301 6513 6092 3249 2190 NA NA NA NA
1634374800.0 11634.912 103 296 530 0 113 NA NA NA NA 220 520 943 0 253 NA NA NA NA 3398 1742 2556 731 1039 NA NA NA NA 4866 2968 4425 1183 1298 NA NA NA NA
1634374800.0 11640.0 NA 268 567 0 94 NA NA NA NA NA 483 1028 0 202 NA NA NA NA NA 1507 2671 694 914 NA NA NA NA NA 1766 4454 1255 1549 NA NA NA NA
1634374800.0 11643.0 NA 284 603 0 91 NA NA NA NA NA 491 1069 0 203 NA NA NA NA NA 1607 3008 725 942 NA NA NA NA NA 2976 5250 1152 1232 NA NA NA NA
1634374800.0 11646.0 NA 281 595 0 90 NA NA NA NA NA 490 1028 0 211 NA NA NA NA NA 1630 2937 734 928 NA NA NA NA NA 2910 5241 1073 1759 NA NA NA NA
1634374800.0 11650.0 NA 278 599 0 111 NA NA NA NA NA 494 1037 0 251 NA NA NA NA NA 1585 2898 729 1012 NA NA NA NA NA 2929 5814 1114 1241 NA NA NA NA
1634374800.0 11650.501 NA 282 117 0 NA NA NA NA NA NA 513 309 0 NA NA NA NA NA NA 1607 737 242 NA NA NA NA NA NA 3064 1481 440 NA NA NA NA NA
1634374800.0 11650.505 NA 283 117 0 NA NA NA NA NA NA 499 302 0 NA NA NA NA NA NA 1810 852 273 NA NA NA NA NA NA 3973 1625 423 NA NA NA NA NA
1634374800.0 11650.911 89 276 512 0 113 NA NA NA NA 208 510 931 0 253 NA NA NA NA 2192 2810 3453 1358 1652 NA NA NA NA 4423 3544 6342 3329 2273 NA NA NA NA
1634374800.0 117.0 86 124 272 NA NA NA NA NA NA 257 239 585 NA NA NA NA NA NA 2247 426 1492 NA NA NA NA NA NA 1974 2005 1839 NA NA NA NA NA NA
1634374800.0 11723.17 NA 302 538 0 NA NA NA NA NA NA 535 922 0 NA NA NA NA NA NA 1910 3167 835 NA NA NA NA NA NA 1919 3494 1801 NA NA NA NA NA
1634374800.0 11725.0 NA 273 587 0 90 NA NA NA NA NA 512 1037 0 201 NA NA NA NA NA 1537 2821 713 929 NA NA NA NA NA 3101 6586 1162 1187 NA NA NA NA
1634374800.0 118.0 88 128 282 NA NA NA NA NA NA 260 242 581 NA NA NA NA NA NA 2703 426 1540 NA NA NA NA NA NA 2040 586 1752 NA NA NA NA NA NA
1634374800.0 11834.0 NA 587 988 0 185 NA NA NA NA NA 1011 1616 0 349 NA NA NA NA NA 7258 8257 854 1177 NA NA NA NA NA 5046 9638 1603 1790 NA NA NA NA
1634374800.0 11834.13 NA 579 1065 0 185 NA NA NA NA NA 946 1868 0 347 NA NA NA NA NA 7375 9718 855 1183 NA NA NA NA NA 5556 10893 1461 1794 NA NA NA NA
1634374800.0 11834.24 NA NA 1653 0 182 NA NA NA NA NA NA 3172 0 348 NA NA NA NA NA NA 93143 783 1203 NA NA NA NA NA NA 41693 1546 1788 NA NA NA NA
1634374800.0 11834.99 NA 470 649 746 0 184 NA NA NA NA 800 1067 1262 0 372 NA NA NA NA 6603 4745 8066 853 1173 NA NA NA NA 4238 3866 9529 1364 2327 NA NA NA
1634374800.0 11846.0 NA 586 1018 0 184 NA NA NA NA NA 1015 1667 0 347 NA NA NA NA NA 7134 8145 850 1168 NA NA NA NA NA 5274 8958 1548 1851 NA NA NA NA
1634374800.0 119.0 80 120 270 NA NA NA NA NA NA 247 230 556 NA NA NA NA NA NA 1447 397 1411 NA NA NA NA NA NA 2206 1420 2609 NA NA NA NA NA NA
1634374800.0 11925.0 NA 600 987 0 184 NA NA NA NA NA 1014 1462 0 348 NA NA NA NA NA 7397 7249 838 1178 NA NA NA NA NA 5934 7644 1227 1883 NA NA NA NA
1634374800.0 12.0 NA 136 290 0 NA NA NA NA NA NA 270 602 0 NA NA NA NA NA NA 1746 3011 484 NA NA NA NA NA NA 1956 4581 789 NA NA NA NA NA
1634374800.0 120.0 67 116 252 NA NA NA NA NA NA 213 235 560 NA NA NA NA NA NA 569 366 1320 NA NA NA NA NA NA 1171 1024 2349 NA NA NA NA NA NA
