Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1634288400.0 38234.0 527 NA 13055100 NA 40607 NA 33249 NA
1634288400.0 38634.0 550 NA 13055100 NA 39110 NA 31925 NA
1634288400.0 39.0 NA 724 NA 13055100 NA 51694 NA 42394
1634288400.0 39034.0 521 NA 13055100 NA 40525 NA 34216 NA
1634288400.0 4.17 NA 159 NA 13055000 NA 44412 NA 41431
1634288400.0 4.22 NA 780 NA 13055200 NA 12386 NA 12648
1634288400.0 4.23 NA 323 NA 13055000 NA 93892 NA 89605
1634288400.0 4.25 NA 285 NA 13055000 NA 24732 NA 26329
1634288400.0 4.26 NA 280 NA 13055000 NA 50917 NA 53517
1634288400.0 4.27 NA 296 NA 13055000 NA 32553 NA 34499
1634288400.0 4.28 NA 311 NA 13055000 NA 24651 NA 32388
1634288400.0 4.29 NA 172 NA 13055000 NA 51217 NA 49273
1634288400.0 4.34 NA 324 NA 13055000 NA 59296 NA 61065
1634288400.0 4.36 NA 292 NA 13055000 NA 26280 NA 27244
1634288400.0 4.37 NA 288 NA 13055000 NA 70125 NA 73898
1634288400.0 4.4 NA 166 NA 13055000 NA 36076 NA 35773
1634288400.0 4.41 NA 157 NA 13055000 NA 18625 NA 19330
1634288400.0 4.44 NA 161 NA 13055000 NA 38306 NA 34777
1634288400.0 4.52 NA 155 NA 13055000 NA 76386 NA 64563
1634288400.0 4.57 NA 275 NA 13055000 NA 36053 NA 38165
1634288400.0 4.58 NA 236 NA 13055000 NA 66198 NA 62963
1634288400.0 4.63 NA 170 NA 13055000 NA 51222 NA 56104
1634288400.0 4.65 NA 155 NA 13055000 NA 70050 NA 73515
1634288400.0 4.67 NA 289 NA 13055000 NA 53941 NA 63998
1634288400.0 4.68 NA 227 NA 13055000 NA 67276 NA 83810
1634288400.0 4.76 NA 289 NA 13055000 NA 38221 NA 47391
1634288400.0 44.0 NA 714 NA 13055100 NA 22754 NA 13256
1634288400.0 45.0 NA 745 NA 13055100 NA 21196 NA 11959
1634288400.0 511.0 110 NA 13055000 NA 28167 NA 53637 NA
1634288400.0 512.0 103 NA 13055000 NA 17080 NA 36837 NA
1634288400.0 515.0 14 NA 13055000 NA 19923 NA 66499 NA
1634288400.0 516.0 104 NA 13055000 NA 16353 NA 35939 NA
1634288400.0 518.0 104 NA 13055000 NA 17047 NA 36491 NA
1634288400.0 519.0 105 NA 13055000 NA 17855 NA 41537 NA
1634288400.0 521.0 104 NA 13055000 NA 17917 NA 41602 NA
1634288400.0 525.0 104 NA 13055000 NA 16422 NA 35944 NA
1634288400.0 526.0 104 NA 13055000 NA 17073 NA 36672 NA
1634288400.0 528.0 104 NA 13055000 NA 16352 NA 35887 NA
1634288400.0 529.0 13 NA 13055000 NA 19931 NA 66559 NA
1634288400.0 538.0 200 NA 13055100 NA 18873 NA 39048 NA
1634288400.0 547.0 104 NA 13055000 NA 17032 NA 36502 NA
1634288400.0 6.0 NA 605 NA 13055100 NA 17886 NA 11220
1634288400.0 7.22 334 NA 13055100 NA 3641 NA 5340 NA
1634288400.0 7.3 319 NA 13055100 NA 5174 NA 5105 NA
1634288400.0 8.2 356 NA 13055100 NA 3931 NA 4939 NA
1634288400.0 9.0 NA 727 NA 13055100 NA 22897 NA 14115
